dataset_key,dataset_name,k,method,variant,action,candidate_mode,target_top_player,target_outside_player,selected_order,model_a,model_b,winner,match_id,match_copy,outcome,influence,influence_abs,fitted_probability,residual,leverage,objective_value,row_uid
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,drop,drop,,Stefanos Tsitsipas,Andrey Rublev,19,Stefanos Tsitsipas,Jannik Sinner,1.0,44,forward,1.0,-0.023806567273721702,0.023806567273721702,0.35141341227513784,0.6485865877248622,0.013905981071978067,-0.7508915929558999,44
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,drop,drop,,Stefanos Tsitsipas,Andrey Rublev,20,Jannik Sinner,Stefanos Tsitsipas,0.0,101,reverse,0.0,-0.023806567273721702,0.023806567273721702,0.6485865877248622,-0.6485865877248622,0.013905981071978064,-0.7508915929558999,379
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,drop,drop,,Stefanos Tsitsipas,Andrey Rublev,21,Stefanos Tsitsipas,Jannik Sinner,1.0,79,forward,1.0,-0.023806567273721702,0.023806567273721702,0.35141341227513784,0.6485865877248622,0.013905981071978067,-0.7508915929558999,79
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,drop,drop,,Stefanos Tsitsipas,Andrey Rublev,22,Jannik Sinner,Stefanos Tsitsipas,0.0,79,reverse,0.0,-0.023806567273721702,0.023806567273721702,0.6485865877248622,-0.6485865877248622,0.013905981071978064,-0.7508915929558999,357
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,drop,drop,,Stefanos Tsitsipas,Andrey Rublev,23,Jannik Sinner,Stefanos Tsitsipas,0.0,44,reverse,0.0,-0.023806567273721702,0.023806567273721702,0.6485865877248622,-0.6485865877248622,0.013905981071978064,-0.7508915929558999,322
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,drop,drop,,Stefanos Tsitsipas,Andrey Rublev,24,Jannik Sinner,Stefanos Tsitsipas,0.0,135,reverse,0.0,-0.023806567273721702,0.023806567273721702,0.6485865877248622,-0.6485865877248622,0.013905981071978064,-0.7508915929558999,413
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,drop,drop,,Stefanos Tsitsipas,Andrey Rublev,25,Jannik Sinner,Stefanos Tsitsipas,0.0,232,reverse,0.0,-0.023806567273721702,0.023806567273721702,0.6485865877248622,-0.6485865877248622,0.013905981071978064,-0.7508915929558999,510
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,0,Stefanos Tsitsipas,Andrey Rublev,1.0,36,forward,1.0,-0.06617664365376395,0.06617664365376395,0.5050620258175176,0.4949379741824824,0.01657773546772147,-0.7508915929558999,36
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,1,Stefanos Tsitsipas,Andrey Rublev,1.0,98,forward,1.0,-0.06617664365376395,0.06617664365376395,0.5050620258175176,0.4949379741824824,0.01657773546772147,-0.7508915929558999,98
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,2,Stefanos Tsitsipas,Andrey Rublev,1.0,11,forward,1.0,-0.06617664365376395,0.06617664365376395,0.5050620258175176,0.4949379741824824,0.01657773546772147,-0.7508915929558999,11
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,3,Stefanos Tsitsipas,Andrey Rublev,1.0,115,forward,1.0,-0.06617664365376395,0.06617664365376395,0.5050620258175176,0.4949379741824824,0.01657773546772147,-0.7508915929558999,115
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,4,Stefanos Tsitsipas,Andrey Rublev,1.0,19,forward,1.0,-0.06617664365376395,0.06617664365376395,0.5050620258175176,0.4949379741824824,0.01657773546772147,-0.7508915929558999,19
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,5,Andrey Rublev,Stefanos Tsitsipas,0.0,115,reverse,0.0,-0.06617664365376394,0.06617664365376394,0.49493797418248237,-0.49493797418248237,0.016577735467721465,-0.7508915929558999,393
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,6,Andrey Rublev,Stefanos Tsitsipas,0.0,11,reverse,0.0,-0.06617664365376394,0.06617664365376394,0.49493797418248237,-0.49493797418248237,0.016577735467721465,-0.7508915929558999,289
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,7,Andrey Rublev,Stefanos Tsitsipas,0.0,98,reverse,0.0,-0.06617664365376394,0.06617664365376394,0.49493797418248237,-0.49493797418248237,0.016577735467721465,-0.7508915929558999,376
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,8,Andrey Rublev,Stefanos Tsitsipas,0.0,19,reverse,0.0,-0.06617664365376394,0.06617664365376394,0.49493797418248237,-0.49493797418248237,0.016577735467721465,-0.7508915929558999,297
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,9,Andrey Rublev,Stefanos Tsitsipas,0.0,36,reverse,0.0,-0.06617664365376394,0.06617664365376394,0.49493797418248237,-0.49493797418248237,0.016577735467721465,-0.7508915929558999,314
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,10,Stefanos Tsitsipas,Taylor Fritz,1.0,78,forward,1.0,-0.03567563554490965,0.03567563554490965,0.4399261147650778,0.5600738852349222,0.021442140448190403,-0.7508915929558999,78
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,11,Taylor Fritz,Stefanos Tsitsipas,0.0,78,reverse,0.0,-0.03567563554490965,0.03567563554490965,0.5600738852349222,-0.5600738852349222,0.021442140448190403,-0.7508915929558999,356
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,12,Andrey Rublev,Alexander Zverev,0.0,214,reverse,0.0,-0.03457146315817991,0.03457146315817991,0.42216880479517704,-0.42216880479517704,0.015742266380951126,-0.7508915929558999,492
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),8,ci_aware,flip,flip,,Stefanos Tsitsipas,Andrey Rublev,13,Alexander Zverev,Andrey Rublev,1.0,214,forward,1.0,-0.03457146315817991,0.03457146315817991,0.577831195204823,0.42216880479517704,0.015742266380951126,-0.7508915929558999,214
