dataset_key,dataset_name,variant,action,candidate_mode,target_player_a,target_player_b,selected_order,model_a,model_b,winner,match_id,match_copy,outcome,influence,influence_abs,fitted_probability,residual,leverage,objective_value,row_uid,candidate_probability,_candidate_x,raw_influence
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,24,OKC,MIN,0.0,105041,forward,0.0,-0.0012084439474271567,0.0012084439474271567,0.7057927518629952,-0.7057927518629952,0.00045824231658312493,0.05948948534572618,105041,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,25,OKC,MIN,0.0,105040,reverse,0.0,-0.0012084439474271567,0.0012084439474271567,0.7057927518629952,-0.7057927518629952,0.00045824231658312493,0.05948948534572618,214932,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,26,OKC,MIN,0.0,94043,reverse,0.0,-0.0012084439474271567,0.0012084439474271567,0.7057927518629952,-0.7057927518629952,0.00045824231658312493,0.05948948534572618,203935,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,27,OKC,MIN,0.0,103733,forward,0.0,-0.0012084439474271567,0.0012084439474271567,0.7057927518629952,-0.7057927518629952,0.00045824231658312493,0.05948948534572618,103733,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,28,OKC,LAC,0.0,98373,reverse,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,208265,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,29,OKC,LAC,0.0,94274,forward,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,94274,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,30,LAC,OKC,1.0,94275,forward,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,94275,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,31,OKC,LAC,0.0,102609,reverse,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,212501,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,32,OKC,LAC,0.0,102608,forward,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,102608,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,33,OKC,LAC,0.0,102692,forward,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,102692,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,34,LAC,OKC,1.0,102693,forward,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,102693,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,35,LAC,OKC,1.0,107702,reverse,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,217594,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,36,LAC,OKC,1.0,94274,reverse,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,204166,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,37,OKC,LAC,0.0,94275,reverse,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,204167,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,38,OKC,LAC,0.0,98372,forward,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,98372,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,39,OKC,LAC,0.0,100526,reverse,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,210418,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,40,LAC,OKC,1.0,102692,reverse,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,212584,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,41,OKC,LAC,0.0,102693,reverse,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,212585,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,42,LAC,OKC,1.0,102609,forward,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,102609,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,43,OKC,LAC,0.0,107702,forward,0.0,-0.0012057120587977519,0.0012057120587977519,0.7035179928652293,-0.7035179928652293,0.0004423120507210216,0.05948948534572618,107702,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,44,LAC,OKC,1.0,102608,reverse,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,212500,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,45,LAC,OKC,1.0,98373,forward,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,98373,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,46,LAC,OKC,1.0,98372,reverse,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,208264,,,
nba_elo_top50,NBA Elo Top-50 Teams,drop,drop,,LAL,OKC,47,LAC,OKC,1.0,100526,forward,1.0,-0.0012057120587977519,0.0012057120587977519,0.29648200713477063,0.7035179928652293,0.0004423120507210215,0.05948948534572618,100526,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,0,OKC,LAL,0.0,96019,reverse,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,205911,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,1,LAL,OKC,1.0,102790,reverse,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,212682,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,2,LAL,OKC,1.0,102969,forward,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,102969,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,3,OKC,LAL,0.0,102968,forward,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,102968,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,4,OKC,LAL,0.0,100021,forward,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,100021,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,5,LAL,OKC,1.0,100020,forward,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,100020,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,6,LAL,OKC,1.0,94541,forward,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,94541,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,7,LAL,OKC,1.0,102791,forward,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,102791,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,8,OKC,LAL,0.0,94540,forward,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,94540,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,9,OKC,LAL,0.0,102791,reverse,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,212683,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,10,LAL,OKC,1.0,96018,reverse,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,205910,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,11,LAL,OKC,1.0,94695,forward,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,94695,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,12,OKC,LAL,0.0,94694,forward,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,94694,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,13,LAL,OKC,1.0,95115,reverse,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,205007,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,14,OKC,LAL,0.0,95114,reverse,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,205006,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,15,OKC,LAL,0.0,98178,reverse,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,208070,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,16,LAL,OKC,1.0,102968,reverse,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,212860,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,17,OKC,LAL,0.0,95115,forward,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,95115,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,18,LAL,OKC,1.0,95114,forward,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,95114,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,19,OKC,LAL,0.0,102790,forward,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,102790,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,20,OKC,LAL,0.0,102969,reverse,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,212861,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,21,LAL,OKC,1.0,100021,reverse,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,209913,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,22,OKC,LAL,0.0,100020,reverse,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,209912,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,23,LAL,OKC,1.0,98178,forward,1.0,-0.0019328327047212187,0.0019328327047212187,0.5148679867793439,0.48513201322065613,0.0004827877283723114,0.05948948534572618,98178,,,
nba_elo_top50,NBA Elo Top-50 Teams,flip,flip,,LAL,OKC,24,OKC,LAL,0.0,94541,reverse,0.0,-0.0019328327047212187,0.0019328327047212187,0.48513201322065613,-0.48513201322065613,0.0004827877283723114,0.05948948534572618,204433,,,
