dataset_key,dataset_name,direction,target_player,initial_rank,k,trial,trial_winner,influence_success,rigging_success,influence_exposures_seen,rigging_exposures_seen,influence_actions_used,rigging_actions_used,influence_rows_added,rigging_rows_added
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,0,influence_pair,True,True,14,14,14,14,14,14
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,1,influence_pair,True,True,8,8,8,8,8,8
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,2,influence_pair,True,True,10,10,10,10,10,10
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,3,influence_pair,True,True,7,7,7,7,7,7
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,4,influence_pair,True,True,8,8,8,8,8,8
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,0,influence_pair,True,True,18,18,18,18,18,18
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,1,influence_pair,True,True,32,37,32,37,32,37
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,2,influence_pair,True,True,38,38,38,38,38,38
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,3,influence_pair,True,True,25,25,25,25,25,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,4,influence_pair,True,True,9,9,9,9,9,9
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,0,influence_pair,True,True,60,67,60,67,60,67
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,1,rigging,True,True,54,53,54,53,54,53
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,2,influence_pair,True,True,49,73,49,73,49,73
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,3,influence_pair,True,True,38,43,38,43,38,43
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,4,influence_pair,True,True,52,56,52,56,52,56
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,0,influence_pair,True,True,2,2,2,2,2,2
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,1,influence_pair,True,True,4,4,4,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,2,influence_pair,True,True,1,1,1,1,1,1
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,3,influence_pair,True,True,6,6,6,6,6,6
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,4,influence_pair,True,True,5,5,5,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,0,influence_pair,True,True,29,37,29,37,29,37
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,0,influence_pair,True,True,15,15,15,15,15,15
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,1,influence_pair,True,True,20,20,20,20,20,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,1,influence_pair,True,True,14,14,14,14,14,14
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,2,rigging,True,True,24,22,24,22,24,22
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,2,influence_pair,True,True,11,11,11,11,11,11
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,3,influence_pair,True,True,26,31,26,31,26,31
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,3,rigging,True,True,26,24,26,24,26,24
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,4,influence_pair,True,True,18,18,18,18,18,18
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,4,influence_pair,True,True,11,11,11,11,11,11
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,0,influence_pair,True,True,15,16,15,16,15,16
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,0,influence_pair,True,True,11,11,11,11,11,11
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,1,influence_pair,True,True,20,29,20,29,20,29
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,1,influence_pair,True,True,20,20,20,20,20,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,2,influence_pair,True,True,15,15,15,15,15,15
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,2,influence_pair,True,True,11,14,11,14,11,14
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,3,influence_pair,True,True,20,22,20,22,20,22
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,3,influence_pair,True,True,18,20,18,20,18,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,4,influence_pair,True,True,16,20,16,20,16,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,4,influence_pair,True,True,14,20,14,20,14,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,0,influence_pair,True,True,19,21,19,21,19,21
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,1,influence_pair,True,True,15,17,15,17,15,17
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,2,rigging,True,True,28,23,28,23,28,23
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,3,rigging,True,True,29,26,29,26,29,26
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,4,influence_pair,True,True,19,24,19,24,19,24
