dataset_key,dataset_name,direction,method,n_runs,n_success_runs,success_rate,mean_exposures_seen,median_exposures_seen,mean_actions_used,median_actions_used,mean_rows_added,median_rows_added,influence_trial_wins,rigging_trial_wins,tied_trials
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,influence_pair,45,44,0.9777777777777777,29.22222222222222,23.0,29.22222222222222,23.0,29.22222222222222,23.0,35,10,0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,rigging,45,43,0.9555555555555556,30.355555555555554,18.0,30.355555555555554,18.0,30.355555555555554,18.0,35,10,0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,influence_pair,45,45,1.0,20.08888888888889,18.0,20.08888888888889,18.0,20.08888888888889,18.0,40,5,0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,rigging,45,45,1.0,21.88888888888889,20.0,21.88888888888889,20.0,21.88888888888889,20.0,40,5,0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),all,influence_pair,90,89,0.9888888888888889,24.655555555555555,18.0,24.655555555555555,18.0,24.655555555555555,18.0,75,15,0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),all,rigging,90,88,0.9777777777777777,26.122222222222224,19.0,26.122222222222224,19.0,26.122222222222224,19.0,75,15,0
all_datasets,All datasets,all,influence_pair,90,89,0.9888888888888889,24.655555555555555,18.0,24.655555555555555,18.0,24.655555555555555,18.0,75,15,0
all_datasets,All datasets,all,rigging,90,88,0.9777777777777777,26.122222222222224,19.0,26.122222222222224,19.0,26.122222222222224,19.0,75,15,0
