dataset_key,dataset_name,objective_key,variant,action,candidate_mode,order_mode,step,objective_value,variant_label,initial_value,delta_from_initial,normalized_value,plot_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,0,0.7195357528522847,Drop,0.7195357528522847,0.0,1.0,1.0
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,1,0.7065243865532034,Drop,0.7195357528522847,-0.013011366299081284,0.981916998220723,0.981916998220723
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,2,0.69865389246007,Drop,0.7195357528522847,-0.020881860392214624,0.9709787035467833,0.9709787035467833
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,3,0.6867626174637739,Drop,0.7195357528522847,-0.03277313538851079,0.9544523878645418,0.9544523878645418
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,4,0.6722443521959279,Drop,0.7195357528522847,-0.04729140065635673,0.934275120494165,0.934275120494165
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,5,0.6590032486778872,Drop,0.7195357528522847,-0.06053250417439748,0.9158728333728479,0.9158728333728479
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,6,0.6494708081191384,Drop,0.7195357528522847,-0.07006494473314628,0.9026247904215955,0.9026247904215955
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,7,0.6369589971953127,Drop,0.7195357528522847,-0.08257675565697198,0.8852360632121024,0.8852360632121024
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,8,0.6303896842117178,Drop,0.7195357528522847,-0.08914606864056684,0.8761061305332136,0.8761061305332136
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),kendall_tau,drop,drop,,greedy,9,0.6320684744719653,Drop,0.7195357528522847,-0.08746727838031931,0.8784392880637362,0.8784392880637362
