dataset_key,dataset_name,objective_key,variant,action,candidate_mode,order_mode,step,objective_value,variant_label,initial_value,delta_from_initial,normalized_value,plot_value
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,0,0.6882679774777904,Drop,0.6882679774777904,0.0,1.0,1.0
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,1,0.6880194233436122,Drop,0.6882679774777904,-0.000248554134178236,0.9996388701170014,0.9996388701170014
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,2,0.6877693476977276,Drop,0.6882679774777904,-0.0004986297800628758,0.999275529595478,0.999275529595478
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,3,0.68751775114641,Drop,0.6882679774777904,-0.0007502263313804436,0.9989099793162981,0.9989099793162981
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,4,0.6872646341734991,Drop,0.6882679774777904,-0.0010033433042913042,0.9985422199824433,0.9985422199824433
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,5,0.6872782241877003,Drop,0.6882679774777904,-0.0009897532900901007,0.9985619652192491,0.9985619652192491
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,6,0.6870233173274399,Drop,0.6882679774777904,-0.0012446601503505184,0.998191605317871,0.998191605317871
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,7,0.686766888875703,Drop,0.6882679774777904,-0.0015010886020874192,0.9978190346620683,0.9978190346620683
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,8,0.6865089388088131,Drop,0.6882679774777904,-0.0017590386689773085,0.9974442532174409,0.9974442532174409
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,9,0.6862494669923694,Drop,0.6882679774777904,-0.00201851048542101,0.9970672607887149,0.9970672607887149
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,10,0.6859884731834237,Drop,0.6882679774777904,-0.002279504294366741,0.9966880570229053,0.9966880570229053
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,11,0.6860007777931938,Drop,0.6882679774777904,-0.0022671996845966547,0.9967059346667486,0.9967059346667486
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,12,0.6860131667178108,Drop,0.6882679774777904,-0.0022548107599796863,0.9967239348135263,0.9967239348135263
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,13,0.6860256411451334,Drop,0.6882679774777904,-0.0022423363326570245,0.9967420591891051,0.9967420591891051
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,14,0.6857648755778942,Drop,0.6882679774777904,-0.0025031018998962207,0.9963631870407962,0.9963631870407962
