dataset_key,dataset_name,objective_key,variant,action,candidate_mode,order_mode,step,objective_value,variant_label,initial_value,delta_from_initial,normalized_value,plot_value
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,0,0.6882679774777904,Drop,0.6882679774777904,0.0,1.0,1.0
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,1,0.6880194233436124,Drop,0.6882679774777904,-0.000248554134178014,0.9996388701170017,0.9996388701170017
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,2,0.6877693476977276,Drop,0.6882679774777904,-0.0004986297800628758,0.999275529595478,0.999275529595478
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,3,0.6875177511464101,Drop,0.6882679774777904,-0.0007502263313803326,0.9989099793162983,0.9989099793162983
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,4,0.6872646341734991,Drop,0.6882679774777904,-0.0010033433042913042,0.9985422199824433,0.9985422199824433
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,5,0.6870099971429356,Drop,0.6882679774777904,-0.0012579803348548024,0.998172252122691,0.998172252122691
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,6,0.6867538403012365,Drop,0.6882679774777904,-0.0015141371765539091,0.9978000760952114,0.9978000760952114
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,7,0.6864961637799033,Drop,0.6882679774777904,-0.001771813697887148,0.9974256920910659,0.9974256920910659
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,8,0.686236967597737,Drop,0.6882679774777904,-0.002031009880053447,0.9970491001375711,0.9970491001375711
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,9,0.6859762516630783,Drop,0.6882679774777904,-0.0022917258147121533,0.996670300101553,0.996670300101553
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,10,0.6857140157759734,Drop,0.6882679774777904,-0.002553961701817098,0.9962892916924941,0.9962892916924941
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,11,0.6854502596302892,Drop,0.6882679774777904,-0.0028177178475012887,0.9959060744656071,0.9959060744656071
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,12,0.6851849828157989,Drop,0.6882679774777904,-0.0030829946619915782,0.995520647824864,0.995520647824864
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,13,0.6849181848202683,Drop,0.6882679774777904,-0.0033497926575221104,0.9951330110260285,0.9951330110260285
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,14,0.6846498650315741,Drop,0.6882679774777904,-0.0036181124462163483,0.9947431631797324,0.9947431631797324
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,15,0.6843800227399078,Drop,0.6882679774777904,-0.003887954737882615,0.9943511032546795,0.9943511032546795
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,16,0.6841086571400682,Drop,0.6882679774777904,-0.004159320337722261,0.9939568300809746,0.9939568300809746
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,17,0.6838357673339228,Drop,0.6882679774777904,-0.004432210143867632,0.9935603423537009,0.9935603423537009
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,18,0.6835613523330495,Drop,0.6882679774777904,-0.004706625144740961,0.9931616386367578,0.9931616386367578
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,19,0.6832854110616111,Drop,0.6882679774777904,-0.004982566416179335,0.9927607173670373,0.9927607173670373
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,20,0.6830079423594965,Drop,0.6882679774777904,-0.005260035118293982,0.9923575768589877,0.9923575768589877
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,21,0.6827289449857711,Drop,0.6882679774777904,-0.005539032492019369,0.9919522153096275,0.9919522153096275
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,22,0.6824484176224617,Drop,0.6882679774777904,-0.005819559855328782,0.9915446308040438,0.9915446308040438
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,23,0.6821663588787211,Drop,0.6882679774777904,-0.006101618599069325,0.9911348213214435,0.9911348213214435
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,24,0.6818827672953967,Drop,0.6882679774777904,-0.006385210182393797,0.9907227847417908,0.9907227847417908
vision_arena,Vision Arena,kendall_tau,drop,drop,,greedy,25,0.6815976413500253,Drop,0.6882679774777904,-0.006670336127765131,0.9903085188530649,0.9903085188530649
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,0,0.6882679774777904,Drop,0.6882679774777904,0.0,1.0,1.0
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,1,0.6880716101190261,Drop,0.6882679774777904,-0.00019636735876438216,0.9997146934548895,0.9997146934548895
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,2,0.6880809585191492,Drop,0.6882679774777904,-0.00018701895864126072,0.9997282759553531,0.9997282759553531
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,3,0.6879971602920941,Drop,0.6882679774777904,-0.00027081718569632596,0.9996065236295189,0.9996065236295189
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,4,0.6879976491422329,Drop,0.6882679774777904,-0.00027032833555751257,0.999607233890863,0.999607233890863
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,5,0.687981324077071,Drop,0.6882679774777904,-0.0002866534007194277,0.999583514837099,0.999583514837099
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,6,0.6877317739033932,Drop,0.6882679774777904,-0.0005362035743972093,0.9992209377859447,0.9992209377859447
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,7,0.6877326939178028,Drop,0.6882679774777904,-0.0005352835599876649,0.9992222744955399,0.9992222744955399
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,8,0.6877460233733964,Drop,0.6882679774777904,-0.0005219541043940401,0.9992416411608938,0.9992416411608938
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,9,0.6877257795907424,Drop,0.6882679774777904,-0.0005421978870480126,0.999212228514488,0.999212228514488
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,10,0.6876846776333113,Drop,0.6882679774777904,-0.0005832998444791349,0.9991525105575642,0.9991525105575642
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,11,0.6876643685631839,Drop,0.6882679774777904,-0.0006036089146065349,0.9991230030535221,0.9991230030535221
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,12,0.6876781769225466,Drop,0.6882679774777904,-0.0005898005552438246,0.9991430655289162,0.9991430655289162
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,13,0.6878154674860689,Drop,0.6882679774777904,-0.00045250999172152806,0.9993425380716101,0.9993425380716101
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,14,0.6878325226158912,Drop,0.6882679774777904,-0.00043545486189922045,0.9993673178527135,0.9993673178527135
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,15,0.6878316505153772,Drop,0.6882679774777904,-0.0004363269624132471,0.999366050758293,0.999366050758293
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,16,0.6878269739538998,Drop,0.6882679774777904,-0.00044100352389064845,0.9993592560771072,0.9993592560771072
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,17,0.6878216586043933,Drop,0.6882679774777904,-0.000446318873397189,0.9993515332864493,0.9993515332864493
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,18,0.6878321449264593,Drop,0.6882679774777904,-0.00043583255133117227,0.9993667690992565,0.9993667690992565
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,19,0.6878022091683759,Drop,0.6882679774777904,-0.0004657683094145826,0.9993232747641094,0.9993232747641094
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,20,0.687807555290392,Drop,0.6882679774777904,-0.0004604221873985015,0.9993310422648374,0.9993310422648374
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,21,0.687800831275175,Drop,0.6882679774777904,-0.0004671462026154538,0.9993212727921363,0.9993212727921363
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,22,0.6878026384898361,Drop,0.6882679774777904,-0.0004653389879543113,0.9993238985348998,0.9993238985348998
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,23,0.687922690090732,Drop,0.6882679774777904,-0.0003452873870584128,0.9994983242016813,0.9994983242016813
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,24,0.6879166026112695,Drop,0.6882679774777904,-0.000351374866520926,0.9994894795660717,0.9994894795660717
vision_arena,Vision Arena,kendall_tau,drop,drop,,random,25,0.6879270964856684,Drop,0.6882679774777904,-0.00034088099212203904,0.9995047263518329,0.9995047263518329
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,0,0.6882679774777904,Flip,0.6882679774777904,0.0,1.0,1.0
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,1,0.6877227086496878,Flip,0.6882679774777904,-0.0005452688281026852,0.9992077666752697,0.9992077666752697
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,2,0.687174050183465,Flip,0.6882679774777904,-0.0010939272943254474,0.9984106084691979,0.9984106084691979
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,3,0.6866220540197767,Flip,0.6882679774777904,-0.0016459234580137316,0.9976086008475284,0.9976086008475284
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,4,0.6860667728057355,Flip,0.6882679774777904,-0.0022012046720549794,0.996801820302433,0.996801820302433
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,5,0.6855082598564852,Flip,0.6882679774777904,-0.0027597176213052244,0.9959903442966817,0.9959903442966817
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,6,0.6849465691146664,Flip,0.6882679774777904,-0.003321408363124001,0.995174251204748,0.995174251204748
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,7,0.6843817551078394,Flip,0.6882679774777904,-0.0038862223699510645,0.9943536202509488,0.9943536202509488
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,8,0.6838138729039583,Flip,0.6882679774777904,-0.004454104573832107,0.9935285314447514,0.9935285314447514
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,9,0.683242978065018,Flip,0.6882679774777904,-0.005024999412772457,0.9926990655134256,0.9926990655134256
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,10,0.6826691265989583,Flip,0.6882679774777904,-0.005598850878832162,0.991865303832165,0.991865303832165
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,11,0.6820923749099773,Flip,0.6882679774777904,-0.006175602567813132,0.9910273283518956,0.9910273283518956
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,12,0.6815127797473729,Flip,0.6882679774777904,-0.00675519773041755,0.9901852215249466,0.9901852215249466
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,13,0.6809303981530568,Flip,0.6882679774777904,-0.007337579324733667,0.9893390662287925,0.9893390662287925
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,14,0.68034528740789,Flip,0.6882679774777904,-0.007922690069900429,0.9884889456880825,0.9884889456880825
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,15,0.67975750497699,Flip,0.6882679774777904,-0.008510472500800503,0.9876349433951761,0.9876349433951761
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,16,0.6791671084541652,Flip,0.6882679774777904,-0.00910086902362528,0.9867771430294112,0.9867771430294112
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,17,0.6785741555056362,Flip,0.6882679774777904,-0.009693821972154293,0.9859156283753342,0.9859156283753342
vision_arena,Vision Arena,kendall_tau,flip,flip,,greedy,18,0.6779787038131995,Flip,0.6882679774777904,-0.010289273664590981,0.9850504832401229,0.9850504832401229
