player,player_index,skill,rating,player_influence_signed,player_influence_abs,fitted_row_count,player_influence_joint_newton,player_influence_joint_newton_abs,player_influence_two_step,player_influence_two_step_abs,degree,bridge_var,closeness,surprise,influence
mixtral-8x7b-instruct-v0.1,4,0.06559718186854027,1011.3953976455645,-0.0006070623627965778,0.04175316129378544,6178,-0.011303246486762397,0.011303246486762397,-0.011303246486762397,0.011303246486762397,3089,0.12510371839359935,0.2660348798689983,0.48542534429795775,0.04175316129378544
claude-instant-1,12,-0.05122678424580538,991.1009961105593,-0.0004198034189260849,0.05843918953783741,7200,-0.009705970524681362,0.009705970524681362,-0.009705970524681362,0.009705970524681362,3600,0.20370176656630626,0.31323378653312045,0.4728683655246006,0.05843918953783741
gpt-3.5-turbo-0125,40,-0.13684662703158934,976.2273060052433,0.0002448474206409162,0.031051919902723733,1508,-0.009425775376645573,0.009425775376645573,-0.009425775376645573,0.009425775376645573,754,0.14639781631260015,0.33724339499642686,0.4771483371945461,0.031051919902723733
gpt-4-0613,21,0.3198398218551698,1055.5618678898477,-0.002605268572337742,0.05947751817168273,10610,-0.008407026329151468,0.008407026329151468,-0.008407026329151468,0.008407026329151468,5305,0.18646318682706844,0.41375141681931876,0.4730955205112069,0.05947751817168273
gpt-3.5-turbo-0613,0,0.0,1000.0,-0.0015221379323877564,0.10910693695572884,12238,-0.0068934196767944655,0.0068934196767944655,-0.0068934196767944655,0.0068934196767944655,6119,0.15000686001555144,0.2809653791349267,0.4808899150480421,0.10910693695572884
mistral-medium,45,0.2635667840853055,1045.7862399764936,0.0018178146245101954,0.03718441857719439,5774,-0.006366813411238903,0.006366813411238903,-0.006366813411238903,0.006366813411238903,2887,0.16529016043056288,0.38479277552705843,0.47692056759959084,0.03718441857719439
gpt-4-0314,15,0.4178964260587632,1072.5960447377645,-0.0007070962356760096,0.04402948453699426,7218,-0.006317977648660378,0.006317977648660378,-0.006317977648660378,0.006317977648660378,3609,0.41561321229550213,0.6741199886177287,0.42791341982495906,0.04402948453699426
vicuna-13b,3,-0.42559186085166123,926.0671213156747,-0.002952164282419134,0.048451744023802056,6012,-0.006198801104223661,0.006198801104223661,-0.006198801104223661,0.006198801104223661,3006,0.4094421057269495,0.5266218067991432,0.4528122969508258,0.048451744023802056
claude-2.0,19,0.10528097670748182,1018.2891788933777,-0.0003942396074708779,0.04780631870165398,4284,-0.005844812274370059,0.005844812274370059,-0.005844812274370059,0.005844812274370059,2142,0.22400049774063743,0.3817490285552687,0.472197915736848,0.04780631870165398
llama-2-7b-chat,20,-0.3507402462793198,939.0701785838015,0.00019959920108026261,0.03800078718097891,3170,-0.00499966943229968,0.00499966943229968,-0.00499966943229968,0.00499966943229968,1585,0.1392568459542079,0.27171645366565284,0.48956292664115086,0.03800078718097891
wizardlm-70b,22,-0.008143534461808932,998.5853231680189,-0.0008426393910014861,0.04179688153045478,2810,-0.0048219360656095445,0.0048219360656095445,-0.0048219360656095445,0.0048219360656095445,1405,0.1081198673688003,0.22733279194395548,0.4858568259257621,0.04179688153045478
palm-2,29,-0.5368651508386731,906.7369709858428,0.00011371741237042925,0.030331887847125774,3374,-0.004652359581843735,0.004652359581843735,-0.004652359581843735,0.004652359581843735,1687,0.3027650345611268,0.48661161259451424,0.46317297369086696,0.030331887847125774
yi-34b-chat,35,-0.00459576962242176,999.2016330451535,-0.00016205197065847734,0.05690174184459994,2510,-0.00444902999409047,0.00444902999409047,-0.00444902999409047,0.00444902999409047,1255,0.1407702429416459,0.24316151215261228,0.48029182263648673,0.05690174184459994
llama-2-70b-chat,27,-0.014355455483322866,997.506201959354,0.00040198272152182856,0.04773706059936683,5882,-0.004240520707557316,0.004240520707557316,-0.004240520707557316,0.004240520707557316,2941,0.08331265834634918,0.2423208106960444,0.48988777693296753,0.04773706059936683
vicuna-7b,6,-0.6969801133548378,878.9221531094764,-0.0010406840647060906,0.020066362075434538,2768,-0.00412601131797341,0.00412601131797341,-0.00412601131797341,0.00412601131797341,1384,0.3155341817916336,0.560476175140905,0.4556710788898691,0.020066362075434538
chatglm2-6b,25,-1.1714105354361672,796.5051473666956,-0.0004981089050966162,0.00927111646634564,978,-0.004042670748309329,0.004042670748309329,-0.004042670748309329,0.004042670748309329,489,0.12855959849555468,0.9533629433378551,0.3986660721113375,0.00927111646634564
nous-hermes-2-mixtral-8x7b-dpo,46,-0.05316467367254836,990.76435023673,-0.00024889941471345267,0.030808510391301884,574,-0.003971317361333382,0.003971317361333382,-0.003971317361333382,0.003971317361333382,287,0.1361844407671702,0.2818891706572921,0.481745172863179,0.030808510391301884
openchat-3.5-0106,62,-0.3973073252077819,930.9806484170078,-0.0009625758287394637,0.037697218088612594,436,-0.003871986433101715,0.003871986433101715,-0.003871986433101715,0.003871986433101715,218,0.10222645564127718,0.42678083661162913,0.4663577941378724,0.037697218088612594
qwen1.5-4b-chat,42,-0.6349811671936094,889.6924731901318,0.0012140492653715785,0.011696899826803253,344,-0.003815462812444159,0.003815462812444159,-0.003815462812444159,0.003815462812444159,172,0.07599062052983854,0.552624465109488,0.4583000553923584,0.011696899826803253
openchat-3.5,17,-0.2308788742764983,959.8922315654729,0.0009798973279006877,0.03301157406573615,2792,-0.003745429038476744,0.003745429038476744,-0.003745429038476744,0.003745429038476744,1396,0.129594532502002,0.2880440686517302,0.4861162973421154,0.03301157406573615
pplx-7b-online,41,-0.4525722224996241,921.380152442289,-0.00025038411445663577,0.045063422962062574,2164,-0.0036610573150392955,0.0036610573150392955,-0.0036610573150392955,0.0036610573150392955,1082,0.10030341621083257,0.489875202477507,0.46498816729064496,0.045063422962062574
gpt-3.5-turbo-1106,34,-0.26075760730736264,954.701764012847,-0.000930565260779477,0.029891069146520906,5752,-0.0035685744871172265,0.0035685744871172265,-0.0035685744871172265,0.0035685744871172265,2876,0.1608972816656377,0.44252740269504987,0.46397596111678835,0.029891069146520906
pplx-70b-online,37,-0.03599628245958467,993.7468052635086,0.00017170141316394215,0.015968449944914885,2430,-0.0034202941220231597,0.0034202941220231597,-0.0034202941220231597,0.0034202941220231597,1215,0.0903610064338933,0.2002755255842994,0.49012067437555856,0.015968449944914885
tulu-2-dpo-70b,54,-0.10404376281661493,981.9257471729173,5.023852124936266e-05,0.0246553176189964,2092,-0.003416166953184141,0.003416166953184141,-0.003416166953184141,0.003416166953184141,1046,0.08172625415379282,0.18926443357042694,0.49036771359772363,0.0246553176189964
gpt-4-1106-preview,9,0.8337998190867323,1144.845864176519,0.002362534883142356,0.05735439159280523,12832,-0.003364750448015652,0.003364750448015652,-0.003364750448015652,0.003364750448015652,6416,0.07526577372734838,0.8089607918372929,0.42274935759411375,0.05735439159280523
solar-10.7b-instruct-v1.0,44,-0.18035076547485088,968.6698630988978,-0.0006817774408855096,0.012446914026062647,1478,-0.0032060804386599973,0.0032060804386599973,-0.0032060804386599973,0.0032060804386599973,739,0.08045863790888697,0.2891307235234949,0.4827560710198368,0.012446914026062647
llama-2-13b-chat,1,-0.3499116791808683,939.2141154312992,0.00030378124423005457,0.03383732657748116,4498,-0.003108855962360102,0.003108855962360102,-0.003108855962360102,0.003108855962360102,2249,0.1324004295099344,0.2650992767192272,0.4890632866217858,0.03383732657748116
oasst-pythia-12b,36,-1.377988318942813,760.6189107823992,-0.0005001193145169154,0.013150100054206814,2676,-0.003080447549995591,0.003080447549995591,-0.003080447549995591,0.003080447549995591,1338,0.438077513832367,0.7587084488514543,0.4151042113482808,0.013150100054206814
dolly-v2-12b,14,-1.650413505853652,713.2938086196634,-0.0007168580947980701,0.012596524355114951,1442,-0.003072267898854397,0.003072267898854397,-0.003072267898854397,0.003072267898854397,721,0.4469982449422967,0.8242242022737777,0.39811254388614087,0.012596524355114951
koala-13b,2,-0.7453107392428278,870.5262634574426,-0.0003144138436357243,0.017601310559419235,2832,-0.003067346144509764,0.003067346144509764,-0.003067346144509764,0.003067346144509764,1416,0.4569450936696447,0.6152188422132325,0.44751104107601536,0.017601310559419235
mpt-7b-chat,51,-1.1066092148452897,807.7622897477602,-0.0002934475677945088,0.012346426276602174,1640,-0.0029665754876196937,0.0029665754876196937,-0.0029665754876196937,0.0029665754876196937,820,0.3915282783149112,0.6730897396139728,0.430952611104255,0.012346426276602174
fastchat-t5-3b,43,-1.4449567250843782,748.9853070827442,-0.00029645828184730796,0.008330162182618254,1842,-0.0028765822034158006,0.0028765822034158006,-0.0028765822034158006,0.0028765822034158006,921,0.4482759504153384,0.829325187270161,0.39662192391559037,0.008330162182618254
zephyr-7b-beta,48,-0.30092679675161804,947.7236610855804,0.0003812446334827153,0.028809979519053938,4158,-0.0028470989291576876,0.0028470989291576876,-0.0028470989291576876,0.0028470989291576876,2079,0.09673886121635235,0.2383103240588642,0.48898502964773555,0.028809979519053938
gemini-pro-dev-api,32,0.08280541912228113,1014.384774638597,-0.0011579047051375332,0.042995661300710745,2556,-0.002724442705832164,0.002724442705832164,-0.002724442705832164,0.002724442705832164,1278,0.15972090481640014,0.3309506248052622,0.48545603848043084,0.042995661300710745
chatglm3-6b,7,-0.9669077963576233,832.0309118130604,2.8947131899254542e-05,0.017086209236654003,1712,-0.0026934497052067963,0.0026934497052067963,-0.0026934497052067963,0.0026934497052067963,856,0.20511357968258076,0.9312080724407095,0.40087702969878136,0.017086209236654003
alpaca-13b,38,-1.1746776855272603,795.937585264251,-0.0001288711503178419,0.01420037623050308,2460,-0.0026432119969295176,0.0026432119969295176,-0.0026432119969295176,0.0026432119969295176,1230,0.46511553863753374,0.6733012556080039,0.4333156662292983,0.01420037623050308
qwen-14b-chat,47,-0.5767842050304367,899.802321002531,0.000452719155464174,0.019373647521403456,1830,-0.002621035083532619,0.002621035083532619,-0.002621035083532619,0.002621035083532619,915,0.19116335815014257,0.4845861725504095,0.46044040112705165,0.019373647521403456
wizardlm-13b,30,-0.21363854715086228,962.8871831402212,0.002378729296930129,0.021859463804218413,2748,-0.002553007956684339,0.002553007956684339,-0.002553007956684339,0.002553007956684339,1374,0.25242718796713287,0.38991815323980733,0.47391841624459347,0.021859463804218413
guanaco-33b,57,-0.3858497435193031,932.9710342183126,-2.567885931721736e-05,0.030070771209598255,1240,-0.002482112828376737,0.002482112828376737,-0.002482112828376737,0.002482112828376737,620,0.308586372413649,0.460409676448688,0.4696750167582459,0.030070771209598255
mpt-30b-chat,60,-0.32468902515855647,943.5957392156371,-0.0004595395159129503,0.008621659876387284,1044,-0.00247449305909897,0.00247449305909897,-0.00247449305909897,0.00247449305909897,522,0.2615930405504337,0.3925136099349949,0.46963352683826975,0.008621659876387284
gpt4all-13b-snoozy,58,-0.9937812849311637,827.362508694269,-7.064177629417588e-05,0.0064422392051297645,696,-0.0024367509032632295,0.0024367509032632295,-0.0024367509032632295,0.0024367509032632295,348,0.3121874770317782,0.6414791425901444,0.44757641906633155,0.0064422392051297645
dolphin-2.2.1-mistral-7b,26,-0.17733565349897706,969.1936416962749,7.3005422359179e-05,0.02670538730753269,658,-0.002428240257755787,0.002428240257755787,-0.002428240257755787,0.002428240257755787,329,0.08653737669670174,0.2576214781787505,0.4804996172294079,0.02670538730753269
gemini-pro,5,0.07937677142500321,1013.7891575284699,-0.0003719873551424481,0.0275366030569415,2564,-0.0023782408534656074,0.0023782408534656074,-0.0023782408534656074,0.0023782408534656074,1282,0.150239967620208,0.2987917743844688,0.48212336235930814,0.0275366030569415
gpt-4-0125-preview,55,0.8059782515149136,1140.0127628667833,-0.000619691009402437,0.01874437755788701,2006,-0.002371552603229632,0.002371552603229632,-0.002371552603229632,0.002371552603229632,1003,0.12195966074889307,0.7053647290745443,0.43782727404993954,0.01874437755788701
RWKV-4-Raven-14B,56,-1.2460135305351743,783.545279724714,0.00017967734609032442,0.013841512299626085,2034,-0.0023619492059655522,0.0023619492059655522,-0.0023619492059655522,0.0023619492059655522,1017,0.4501239176813665,0.7376454032127132,0.43218486907537257,0.013841512299626085
gpt-3.5-turbo-0314,33,-0.10673549864496695,981.4581447661195,0.0003471844846073766,0.016013489199756033,2332,-0.0023545534976192606,0.0023545534976192606,-0.0023545534976192606,0.0023545534976192606,1166,0.43487023778854117,0.8601999339081969,0.4055581439839712,0.016013489199756033
stablelm-tuned-alpha-7b,23,-1.6368134885979075,715.656373598847,-3.1159295792666095e-05,0.0074875082326201735,1372,-0.002277939522413175,0.002277939522413175,-0.002277939522413175,0.002277939522413175,686,0.4266037699023446,0.7667276908096206,0.419456095453599,0.0074875082326201735
starling-lm-7b-alpha,18,-0.022496137839826184,996.0920205888115,7.4701971996018065e-06,0.02414401982727821,2040,-0.0022395396014384117,0.0022395396014384117,-0.0022395396014384117,0.0022395396014384117,1020,0.09116408242844087,0.21776391346403062,0.4905473200559281,0.02414401982727821
vicuna-33b,24,-0.10412954548653879,981.910845196841,0.0007175885428077222,0.04966217232626931,6454,-0.0022131840306475192,0.0022131840306475192,-0.0022131840306475192,0.0022131840306475192,3227,0.1387583811143631,0.24994072760305738,0.48742788900108197,0.04966217232626931
stripedhyena-nous-7b,59,-0.36633594921072066,936.3609274939977,5.100853728377481e-05,0.03119909421365112,1594,-0.002169876775424462,0.002169876775424462,-0.002169876775424462,0.002169876775424462,797,0.14737160272723426,0.39097257490841575,0.4677260615013583,0.03119909421365112
qwen1.5-7b-chat,53,-0.27531553916284907,952.1727922237424,-0.0005064984267931621,0.006300666084319543,368,-0.0020630666841388035,0.0020630666841388035,-0.0020630666841388035,0.0020630666841388035,184,0.08157874719965473,0.3094563614424102,0.4771396623974529,0.006300666084319543
chatglm-6b,11,-1.5295799734279454,734.2847431642083,0.0005942484033817333,0.01030960336147889,2300,-0.002046917691105987,0.002046917691105987,-0.002046917691105987,0.002046917691105987,1150,0.4370389408660354,0.8289301445826109,0.4088397050642402,0.01030960336147889
llama-13b,28,-1.847586536287029,679.0413449807204,0.00016517037484278053,0.0034355775541387106,960,-0.002034037933623778,0.002034037933623778,-0.002034037933623778,0.002034037933623778,480,0.3729729974903556,0.921613241179003,0.39712324138377986,0.0034355775541387106
qwen1.5-72b-chat,39,0.2612085123226507,1045.3765662111539,-0.0003435506868393412,0.020636518450832093,962,-0.001979580582474494,0.001979580582474494,-0.001979580582474494,0.001979580582474494,481,0.12401647577858822,0.3628495759143436,0.4856200944036979,0.020636518450832093
falcon-180b-chat,63,-0.4512123568564551,921.6163853002722,-3.4967929673091195e-05,0.026011970135670588,476,-0.0018783103041319915,0.0018783103041319915,-0.0018783103041319915,0.0018783103041319915,238,0.11125925035417582,0.3620325838146796,0.4795958652325366,0.026011970135670588
mistral-7b-instruct,50,-0.5266059623015709,908.5191745740303,0.0007014295206635923,0.020644450620482077,2752,-0.0018164724871058135,0.0018164724871058135,-0.0018164724871058135,0.0018164724871058135,1376,0.09402751797875829,0.36771391736273296,0.47814590926313577,0.020644450620482077
openhermes-2.5-mistral-7b,49,-0.19805439494459795,965.5944276635495,0.0002849259788381662,0.017445957877400727,1618,-0.0017855208008290546,0.0017855208008290546,-0.0017855208008290546,0.0017855208008290546,809,0.10931409610994092,0.2480265019217927,0.481025116188849,0.017445957877400727
zephyr-7b-alpha,52,-0.3467390150559322,939.7652636402561,0.00043979758516153654,0.009162559807164036,676,-0.0014541057794500434,0.0014541057794500434,-0.0014541057794500434,0.0014541057794500434,338,0.09913673227627305,0.24247188357498559,0.4979170321115316,0.009162559807164036
codellama-34b-instruct,31,-0.2862676733133629,950.2702116530895,-0.0002834128213801674,0.019990954205570982,2510,-0.0013378636247545206,0.0013378636247545206,-0.0013378636247545206,0.0013378636247545206,1255,0.149864338860499,0.3362946164419483,0.47977650226780477,0.019990954205570982
deepseek-llm-67b-chat,16,-0.12084254742350171,979.0074993899365,-0.0001408741920437889,0.017047419647044697,1350,-0.001327351705316615,0.001327351705316615,-0.001327351705316615,0.001327351705316615,675,0.1546768243631994,0.36173903362973325,0.4758887375379675,0.017047419647044697
llama2-70b-steerlm-chat,8,-0.21856446914023409,962.0314628449131,0.001272440938962985,0.020354705745130396,1144,-0.0010351515362765351,0.0010351515362765351,-0.0010351515362765351,0.0010351515362765351,572,0.12857619277947946,0.3712730721898164,0.482150598359846,0.020354705745130396
claude-2.1,10,-0.030983459780540675,994.6176217548159,0.0008090528251917634,0.042542516206530205,9652,-0.0006114413643831806,0.0006114413643831806,-0.0006114413643831806,0.0006114413643831806,4826,0.1530580135143645,0.3673283422787094,0.4747004641641629,0.042542516206530205
claude-1,13,0.1769919610817858,1030.746652815622,0.002072485198428262,0.044616868655712676,6966,-0.0003918219978001902,0.0003918219978001902,-0.0003918219978001902,0.0003918219978001902,3483,0.32322765706306755,0.49706342233570555,0.45427815617670136,0.044616868655712676
mistral-7b-instruct-v0.2,61,-0.18267545677312064,968.266022857711,-0.0004489241143604854,0.006104416272003169,182,-0.0001700019292043553,0.0001700019292043553,-0.0001700019292043553,0.0001700019292043553,91,0.0761017129688481,0.26790606835314484,0.4811913272458577,0.006104416272003169
