dataset_key,dataset_name,target_player,policy,trial,budget,initial_ci_width,final_ci_width,final_ci_ratio,ci_reduction,ci_reduction_fraction,nauc_ci_ratio,steps_completed,target_rank,target_quantile,target_match_count
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,arena_active,0,12,144.30388983632383,134.92569540174497,0.9350107994648236,9.378194434578859,0.06498920053517644,0.9714453888980276,12,2,0.1,53
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Carlos Alcaraz,influence,0,12,144.30388983632383,137.38511544152504,0.9520541379539638,6.918774394798788,0.0479458620460362,0.9664566786959348,12,2,0.1,53
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,arena_active,0,12,185.04811828111792,155.3729647295222,0.8396354752091325,29.675153551595713,0.1603645247908675,0.9133849341977205,12,5,0.5,30
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,influence,0,12,185.04811828111792,162.12480191273926,0.8761224022091678,22.923316368378664,0.12387759779083217,0.9179342059951434,12,5,0.5,30
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Andrey Rublev,arena_active,0,12,137.44165366587072,129.09420600065016,0.9392655178210113,8.347447665220557,0.060734482178988664,0.967149996442485,12,9,0.9,55
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Andrey Rublev,influence,0,12,137.44165366587072,130.3948825139414,0.9487289990772343,7.046771151929306,0.051271000922765736,0.9644197987090302,12,9,0.9,55
mt_bench_human,MT-Bench Human Judgments,gpt-4,arena_active,0,12,36.08787177928161,36.01680566347022,0.9980307479408583,0.07106611581139077,0.001969252059141667,0.9989803205418345,12,1,0.1,1029
mt_bench_human,MT-Bench Human Judgments,gpt-4,influence,0,12,36.08787177928161,36.05622753421744,0.9991231335209315,0.03164424506417163,0.00087686647906843,0.9992094569628912,12,1,0.1,1029
mt_bench_human,MT-Bench Human Judgments,claude-v1,arena_active,0,12,34.46245672954342,34.33766117678715,0.9963787969692455,0.12479555275626808,0.0036212030307544896,0.9981287841285582,12,3,0.5,996
mt_bench_human,MT-Bench Human Judgments,claude-v1,influence,0,12,34.46245672954342,34.39298292528474,0.9979840727895896,0.06947380425867777,0.0020159272104104055,0.9981769129518152,12,3,0.5,996
mt_bench_human,MT-Bench Human Judgments,alpaca-13b,arena_active,0,12,36.182476851387264,36.07300741601284,0.9969745179186034,0.10946943537442166,0.0030254820813966615,0.9981804012161254,12,5,0.9,1018
mt_bench_human,MT-Bench Human Judgments,alpaca-13b,influence,0,12,36.182476851387264,36.12747015124546,0.9984797419931274,0.05500670014180287,0.001520258006872569,0.9986079707011335,12,5,0.9,1018
webdev_arena,WebDev Arena,claude-3-5-haiku-20241022,arena_active,0,12,31.091855817686678,30.922235332950436,0.9945445364943526,0.16962048473624236,0.00545546350564746,0.9977047709483713,12,2,0.1,1119
webdev_arena,WebDev Arena,claude-3-5-haiku-20241022,influence,0,12,31.091855817686678,30.993000281101786,0.996820532773452,0.09885553658489243,0.0031794672265480603,0.998132673669647,12,2,0.1,1119
webdev_arena,WebDev Arena,gemini-2.0-flash-exp,arena_active,0,12,21.135077479611482,21.087116049317274,0.99773071897463,0.047961430294208185,0.0022692810253700495,0.9988286540685285,12,7,0.5,2319
webdev_arena,WebDev Arena,gemini-2.0-flash-exp,influence,0,12,21.135077479611482,21.08373754652439,0.9975708661046254,0.051339933087092504,0.0024291338953745943,0.9986608460611278,12,7,0.5,2319
webdev_arena,WebDev Arena,llama-v3.3-70b-instruct,arena_active,0,12,210.33557317970508,177.09327677744022,0.8419558998046254,33.242296402264856,0.1580441001953746,0.9089902914819249,12,12,0.9,25
webdev_arena,WebDev Arena,llama-v3.3-70b-instruct,influence,0,12,210.33557317970508,189.09108471749823,0.8989971684720391,21.244488462206846,0.10100283152796091,0.9333352999716987,12,12,0.9,25
vision_arena,Vision Arena,claude-3-5-sonnet-20240620,arena_active,0,12,12.404874329197128,12.39440918285095,0.9991563682091043,0.01046514634617779,0.0008436317908957904,0.9996845782536581,12,3,0.1,6774
vision_arena,Vision Arena,claude-3-5-sonnet-20240620,influence,0,12,12.404874329197128,12.396377398846425,0.9993150329358272,0.008496930350702314,0.0006849670641727698,0.9995966301628028,12,3,0.1,6774
vision_arena,Vision Arena,internvl2-26b,arena_active,0,12,24.75454780170992,24.642498630574437,0.9954735924876098,0.11204917113548163,0.004526407512390181,0.997723383506439,12,9,0.5,1624
vision_arena,Vision Arena,internvl2-26b,influence,0,12,24.75454780170992,24.657082690547668,0.9960627391805752,0.09746511116225065,0.003937260819424795,0.9978292979202428,12,9,0.5,1624
vision_arena,Vision Arena,llava-v1.6-34b,arena_active,0,12,24.27618723121202,24.21946016912807,0.9976632631169109,0.05672706208395084,0.0023367368830891433,0.9985871613423707,12,15,0.9,1823
vision_arena,Vision Arena,llava-v1.6-34b,influence,0,12,24.27618723121202,24.217680103914972,0.9975899375490964,0.0585071272970481,0.0024100624509035416,0.9985437083969396,12,15,0.9,1823
