method,policy,mean_nauc_ci_ratio,median_final_ci_ratio,mean_ci_reduction_fraction,win_rate_vs_primary,primary_policy,n_tasks
Ours,influence,0.9881661468758154,0.9970967749339363,0.01794983065147945,,influence,21
Arena Active,arena_active,0.9873771505281345,0.9967002517646977,0.023590209099018287,0.3333333333333333,influence,21
